,id,title,rmse,count,cause
127,30601121,"Red Sun (Feat. ZICO, Swings)",17.78,13,
128,30755375,그날처럼,17.7,48,
129,5458267,광화문에서 (At Gwanghwamun),17.67,35,
130,30040810,너무너무너무,17.62,34,
131,7858908,바람이나 좀 쐐 (Feat. 우혜미),17.54,30,
132,30467550,매일 듣는 노래 (A Daily Song),17.52,42,
133,3522389,블링블링 (Bling Bling),17.5,11,
134,5620266,The Time Goes On,17.42,32,
135,5771304,Oasis (Feat. ZICO),17.34,47,
136,5442691,도망가자 (Feat. 린),17.28,18,
137,4333556,꾸리스마스,17.21,12,
138,30286429,MOVIE,17.15,25,
139,30992157,빛나리,17.13,14,
140,5713425,Hooka,17.03,14,
141,30029173,피 땀 눈물,17.01,73,아이돌컴백
142,3434891,그렇고 그런 사이,16.93,15,
143,3354527,STUPID LIAR,16.92,13,
144,3488667,내꺼하자,16.89,16,
145,3893169,홀로 (Feat. 김나영),16.88,40,
146,3111583,Black & White,16.78,20,
147,7965449,유레카 (Feat. Zion.T),16.74,38,
148,30414090,처음부터 너와 나,16.72,38,
149,3753308,전활 거네,16.66,14,
150,3726617,자니 (Feat. Dynamic Duo),16.62,88,
151,3753307,골목길 어귀에서,16.62,12,
152,3618293,My My,16.5,17,
153,4681146,한여름밤의 꿀,16.5,72,계절
154,3110565,톡톡 (Tok Tok) (Feat. SOYA),16.48,19,
155,3940613,독 (Feat. E-Sens Of 슈프림팀),16.42,14,
156,8262125,너 그리고 나 (NAVILLERA),16.42,31,
157,30049271,"All I Wanna Do (K) (Feat. Hoody, Loco)",16.38,51,
158,30399360,미치고 싶다,16.37,26,
159,8109414,21,16.3,21,
160,8028725,사랑이었다 (Feat. 루나 of f(x)),16.26,22,
161,3338948,La Vida Loca (라 비다 로카),16.23,13,
162,4164425,핫 앤 콜드 (Hot & Cold),16.23,11,
163,30616684,Power,16.18,31,
164,5700639,마음,16.15,27,
165,4535038,그런 남자,16.06,20,
166,4382254,La Song,15.97,18,
167,30113165,"BERMUDA TRIANGLE (Feat. Crush, DEAN)",15.92,22,
